   0.00000000      -1.71828377      -27.1828175       0.00000000    
   6.28318563E-02  -1.60575593      -25.3648777      -1.01327896E-06
  0.125663713      -1.40041888      -20.4875717       1.13031769    
  0.188495576      -1.12032890      -13.7249355     -0.271496236    
  0.251327425     -0.790599167      -6.53219604       5.66244118E-08
  0.314159274     -0.437913865     -0.168106556      -1.13031840    
  0.376991153      -8.57623070E-02   4.61044312      -4.43365872E-02
  0.439823002      0.248437226       7.60410976       5.47428848E-03
  0.502654850      0.554106116       9.03455544      -6.31108037E-08
  0.565486729      0.826656818       9.33430958      -1.77667687E-07
  0.628318548       1.06582797       8.96411419       5.42778231E-04
  0.691150427       1.27390206       8.30389309     -0.271540314    
  0.753982306       1.45422077       7.61538696       5.27581641E-08
  0.816814125       1.61016548       7.05132675      -1.07288365E-08
  0.879646003       1.74455678       6.68454981      -3.18944444E-06
  0.942477822       1.85936642       6.53914595       1.81106415E-07
   1.00530970       1.95562208       6.61517286      -2.84268307E-08
   1.06814158       2.03340602       6.90481853      -4.43368256E-02
   1.13097346       2.09188366       7.40066624       2.28969057E-08
   1.19380522       2.12933040       8.09703732      -1.32782620E-08
   1.25663710       2.14314675       8.98460674      -1.82944948E-08
   1.31946898       2.12989068       10.0374269      -1.36797542E-08
   1.38230085       2.08537173       11.1914349       8.06128408E-09
   1.44513273       2.00490069       12.3152351      -5.47420792E-03
   1.50796461       1.88379550       13.1790771      -3.90513177E-09
   1.57079637       1.71828187       13.4365635      -8.76538897E-10
   1.63362825       1.50683594       12.6433792      -1.57777003E-09
   1.69646013       1.25190961       10.3404646      -1.72460144E-08
   1.75929201      0.961696744       6.21435881      -1.66408909E-09
   1.82212389      0.651335716      0.306730270      -5.42919850E-04
   1.88495564      0.342743218      -6.81114054       2.24176766E-09
   1.94778752       6.24380969E-02  -14.0190353       2.31924679E-09
   2.01061940     -0.162705079      -19.8712959      -4.05868184E-09
   2.07345128     -0.310911000      -23.0353546       1.54149948E-09
   2.13628316     -0.370517254      -22.7739010      -4.11066514E-10
   2.19911504     -0.342742771      -19.2330151      -4.49793151E-05
   2.26194692     -0.241135806      -13.3809271       1.28379229E-09
   2.32477880      -8.79322290E-02  -6.63117218      -4.11634282E-09
   2.38761044       9.12720636E-02 -0.349579334       9.05595432E-10
   2.45044231      0.272691160       4.52482510      -4.57068028E-09
   2.51327419      0.437912285       7.61780643      -7.13472037E-09
   2.57610607      0.575334728       9.03562546      -3.20324398E-06
   2.63893795      0.679771125       9.16616249      -5.46151169E-09
   2.70176983      0.750961363       8.47920036      -5.60713787E-09
   2.76460171      0.791761875       7.39130020       4.54715865E-09
   2.82743359      0.806529403       6.20689297       4.76555995E-09
   2.89026546      0.799938381       5.11525679       7.08508052E-09
   2.95309734      0.776241243       4.21559572      -2.00326355E-07
   3.01592922      0.738884509       3.54891062      -5.78485304E-09
   3.07876086      0.690350533       3.12532306      -4.24198277E-09
   3.14159274      0.632121027       2.94303560       7.61720731E-09
   3.20442462      0.564687014       2.99899888      -3.65375596E-09
   3.26725650      0.487561196       3.29232764       4.22603108E-09
